[ 2025-06-14 18:18:54,186 ] 16 networksecurity.logging.logger - INFO - Initiate the data ingestion
[ 2025-06-14 18:18:57,630 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-06-14 18:18:57,630 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-14 18:18:57,631 ] 75 root - INFO - Exporting train and test file path.
[ 2025-06-14 18:18:57,775 ] 84 root - INFO - Exported train and test file path.
[ 2025-06-14 18:18:57,807 ] 22 networksecurity.logging.logger - INFO - Initiate the data Validation
[ 2025-06-14 18:18:57,955 ] 32 root - INFO - Required number of columns:2
[ 2025-06-14 18:18:57,956 ] 33 root - INFO - Data frame has columns:31
[ 2025-06-14 18:18:57,956 ] 32 root - INFO - Required number of columns:2
[ 2025-06-14 18:18:57,956 ] 33 root - INFO - Data frame has columns:31
[ 2025-06-14 18:18:58,279 ] 24 networksecurity.logging.logger - INFO - data Validation Completed
